scenario	tree_type	rep	threshold	TP	FP	FN	TN	precision	recall
humnea_50_10	.relate.trees	0	0.5	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	0	0.6	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	0	0.7	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	0	0.8	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	0	0.9	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	0	0.95	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	0	0.99	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	0	0.999	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	0	0.9999	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	0	1.0	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	1	0.5	0	0	382457	159617543	0	0.0
humnea_50_10	.relate.trees	1	0.6	0	0	382457	159617543	0	0.0
humnea_50_10	.relate.trees	1	0.7	0	0	382457	159617543	0	0.0
humnea_50_10	.relate.trees	1	0.8	0	0	382457	159617543	0	0.0
humnea_50_10	.relate.trees	1	0.9	0	0	382457	159617543	0	0.0
humnea_50_10	.relate.trees	1	0.95	0	0	382457	159617543	0	0.0
humnea_50_10	.relate.trees	1	0.99	0	0	382457	159617543	0	0.0
humnea_50_10	.relate.trees	1	0.999	0	0	382457	159617543	0	0.0
humnea_50_10	.relate.trees	1	0.9999	0	0	382457	159617543	0	0.0
humnea_50_10	.relate.trees	1	1.0	0	0	382457	159617543	0	0.0
humnea_50_10	.relate.trees	2	0.5	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	2	0.6	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	2	0.7	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	2	0.8	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	2	0.9	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	2	0.95	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	2	0.99	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	2	0.999	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	2	0.9999	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	2	1.0	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	3	0.5	0	0	1935974	208064026	0	0.0
humnea_50_10	.relate.trees	3	0.6	0	0	1935974	208064026	0	0.0
humnea_50_10	.relate.trees	3	0.7	0	0	1935974	208064026	0	0.0
humnea_50_10	.relate.trees	3	0.8	0	0	1935974	208064026	0	0.0
humnea_50_10	.relate.trees	3	0.9	0	0	1935974	208064026	0	0.0
humnea_50_10	.relate.trees	3	0.95	0	0	1935974	208064026	0	0.0
humnea_50_10	.relate.trees	3	0.99	0	0	1935974	208064026	0	0.0
humnea_50_10	.relate.trees	3	0.999	0	0	1935974	208064026	0	0.0
humnea_50_10	.relate.trees	3	0.9999	0	0	1935974	208064026	0	0.0
humnea_50_10	.relate.trees	3	1.0	0	0	1935974	208064026	0	0.0
humnea_50_10	.relate.trees	4	0.5	0	0	19762636	190237364	0	0.0
humnea_50_10	.relate.trees	4	0.6	0	0	19762636	190237364	0	0.0
humnea_50_10	.relate.trees	4	0.7	0	0	19762636	190237364	0	0.0
humnea_50_10	.relate.trees	4	0.8	0	0	19762636	190237364	0	0.0
humnea_50_10	.relate.trees	4	0.9	0	0	19762636	190237364	0	0.0
humnea_50_10	.relate.trees	4	0.95	0	0	19762636	190237364	0	0.0
humnea_50_10	.relate.trees	4	0.99	0	0	19762636	190237364	0	0.0
humnea_50_10	.relate.trees	4	0.999	0	0	19762636	190237364	0	0.0
humnea_50_10	.relate.trees	4	0.9999	0	0	19762636	190237364	0	0.0
humnea_50_10	.relate.trees	4	1.0	0	0	19762636	190237364	0	0.0
humnea_50_10	.relate.trees	5	0.5	0	0	6670398	203329602	0	0.0
humnea_50_10	.relate.trees	5	0.6	0	0	6670398	203329602	0	0.0
humnea_50_10	.relate.trees	5	0.7	0	0	6670398	203329602	0	0.0
humnea_50_10	.relate.trees	5	0.8	0	0	6670398	203329602	0	0.0
humnea_50_10	.relate.trees	5	0.9	0	0	6670398	203329602	0	0.0
humnea_50_10	.relate.trees	5	0.95	0	0	6670398	203329602	0	0.0
humnea_50_10	.relate.trees	5	0.99	0	0	6670398	203329602	0	0.0
humnea_50_10	.relate.trees	5	0.999	0	0	6670398	203329602	0	0.0
humnea_50_10	.relate.trees	5	0.9999	0	0	6670398	203329602	0	0.0
humnea_50_10	.relate.trees	5	1.0	0	0	6670398	203329602	0	0.0
humnea_50_10	.relate.trees	6	0.5	0	0	6686555	203313445	0	0.0
humnea_50_10	.relate.trees	6	0.6	0	0	6686555	203313445	0	0.0
humnea_50_10	.relate.trees	6	0.7	0	0	6686555	203313445	0	0.0
humnea_50_10	.relate.trees	6	0.8	0	0	6686555	203313445	0	0.0
humnea_50_10	.relate.trees	6	0.9	0	0	6686555	203313445	0	0.0
humnea_50_10	.relate.trees	6	0.95	0	0	6686555	203313445	0	0.0
humnea_50_10	.relate.trees	6	0.99	0	0	6686555	203313445	0	0.0
humnea_50_10	.relate.trees	6	0.999	0	0	6686555	203313445	0	0.0
humnea_50_10	.relate.trees	6	0.9999	0	0	6686555	203313445	0	0.0
humnea_50_10	.relate.trees	6	1.0	0	0	6686555	203313445	0	0.0
humnea_50_10	.relate.trees	7	0.5	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	7	0.6	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	7	0.7	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	7	0.8	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	7	0.9	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	7	0.95	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	7	0.99	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	7	0.999	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	7	0.9999	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	7	1.0	0	0	0	10000000	0	0.0
humnea_50_10	.relate.trees	8	0.5	0	0	1095879	178904121	0	0.0
humnea_50_10	.relate.trees	8	0.6	0	0	1095879	178904121	0	0.0
humnea_50_10	.relate.trees	8	0.7	0	0	1095879	178904121	0	0.0
humnea_50_10	.relate.trees	8	0.8	0	0	1095879	178904121	0	0.0
humnea_50_10	.relate.trees	8	0.9	0	0	1095879	178904121	0	0.0
humnea_50_10	.relate.trees	8	0.95	0	0	1095879	178904121	0	0.0
humnea_50_10	.relate.trees	8	0.99	0	0	1095879	178904121	0	0.0
humnea_50_10	.relate.trees	8	0.999	0	0	1095879	178904121	0	0.0
humnea_50_10	.relate.trees	8	0.9999	0	0	1095879	178904121	0	0.0
humnea_50_10	.relate.trees	8	1.0	0	0	1095879	178904121	0	0.0
humnea_50_10	.relate.trees	9	0.5	0	0	21677044	188322956	0	0.0
humnea_50_10	.relate.trees	9	0.6	0	0	21677044	188322956	0	0.0
humnea_50_10	.relate.trees	9	0.7	0	0	21677044	188322956	0	0.0
humnea_50_10	.relate.trees	9	0.8	0	0	21677044	188322956	0	0.0
humnea_50_10	.relate.trees	9	0.9	0	0	21677044	188322956	0	0.0
humnea_50_10	.relate.trees	9	0.95	0	0	21677044	188322956	0	0.0
humnea_50_10	.relate.trees	9	0.99	0	0	21677044	188322956	0	0.0
humnea_50_10	.relate.trees	9	0.999	0	0	21677044	188322956	0	0.0
humnea_50_10	.relate.trees	9	0.9999	0	0	21677044	188322956	0	0.0
humnea_50_10	.relate.trees	9	1.0	0	0	21677044	188322956	0	0.0
humnea_50_10	.relate.trees	10	0.5	0	0	7052643	202947357	0	0.0
humnea_50_10	.relate.trees	10	0.6	0	0	7052643	202947357	0	0.0
humnea_50_10	.relate.trees	10	0.7	0	0	7052643	202947357	0	0.0
humnea_50_10	.relate.trees	10	0.8	0	0	7052643	202947357	0	0.0
humnea_50_10	.relate.trees	10	0.9	0	0	7052643	202947357	0	0.0
humnea_50_10	.relate.trees	10	0.95	0	0	7052643	202947357	0	0.0
humnea_50_10	.relate.trees	10	0.99	0	0	7052643	202947357	0	0.0
humnea_50_10	.relate.trees	10	0.999	0	0	7052643	202947357	0	0.0
humnea_50_10	.relate.trees	10	0.9999	0	0	7052643	202947357	0	0.0
humnea_50_10	.relate.trees	10	1.0	0	0	7052643	202947357	0	0.0
